Name,Sex,Age,Height,Weight,NOC,Year,Season,Sport,Event,Medals
Andrey Khakimovich Abduvaliyev,M,26,190,125,EUN,1992,Summer,Athletics,Athletics Men's Hammer Throw,Gold
Masashi Abe,M,28,175,64,JPN,1994,Winter,Nordic Combined,Nordic Combined Men's Team,Gold
"Max ""Xam"" Abegglen",M,22,,,SUI,1924,Summer,Football,Football Men's Football,Silver
Clarence John Abel,M,23,185,102,USA,1924,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
George Gordon Abel,M,35,,,CAN,1952,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Irene Abel,F,19,160,48,GDR,1972,Summer,Gymnastics,Gymnastics Women's Team All-Around,Silver
Jennifer Abel,F,20,160,62,CAN,2012,Summer,Diving,Diving Women's Synchronized Springboard,Bronze
Egil Sten Abel,M,20,,,NOR,1920,Summer,Sailing,Sailing Mixed 7 metres,Silver
Abelardo Fernndez Antua,M,22,,,ESP,1992,Summer,Football,Football Men's Football,Gold
"Louis Grenville ""Lou"" Abell",M,15,,,USA,1900,Summer,Rowing,Rowing Men's Coxed Eights,Gold
"Louis Grenville ""Lou"" Abell",M,19,,,USA,1904,Summer,Rowing,Rowing Men's Coxed Eights,Gold
Gezahgne Abera,M,22,166,58,ETH,2000,Summer,Athletics,Athletics Men's Marathon,Gold
Nils Georg berg,M,19,181,78,SWE,1912,Summer,Athletics,Athletics Men's Long Jump,Bronze
Nils Georg berg,M,19,181,78,SWE,1912,Summer,Athletics,Athletics Men's Triple Jump,Silver
Michael Brent Abernathy,M,22,182,84,USA,2000,Summer,Baseball,Baseball Men's Baseball,Gold
Moira Abernethy (-Ford),F,17,,,RSA,1956,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
"Edgar Allen ""Ed"" Ablowich",M,19,182,68,USA,1932,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Denis Mikhaylovich Ablyazin,M,19,161,62,RUS,2012,Summer,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
Denis Mikhaylovich Ablyazin,M,19,161,62,RUS,2012,Summer,Gymnastics,Gymnastics Men's Horse Vault,Silver
Denis Mikhaylovich Ablyazin,M,24,161,62,RUS,2016,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
Denis Mikhaylovich Ablyazin,M,24,161,62,RUS,2016,Summer,Gymnastics,Gymnastics Men's Horse Vault,Silver
Denis Mikhaylovich Ablyazin,M,24,161,62,RUS,2016,Summer,Gymnastics,Gymnastics Men's Rings,Bronze
Viktor Andreyevich Aboimov,M,22,190,78,URS,1972,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Viktor Andreyevich Aboimov,M,22,190,78,URS,1972,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
"Matthew ""Matt"" Abood",M,30,197,92,AUS,2016,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
Gary Abraham,M,21,175,64,GBR,1980,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Harold Maurice Abrahams,M,24,183,75,GBR,1924,Summer,Athletics,Athletics Men's 100 metres,Gold
Harold Maurice Abrahams,M,24,183,75,GBR,1924,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Erik Adolf Efraim Abrahamsson,M,22,172,61,SWE,1920,Summer,Athletics,Athletics Men's Long Jump,Bronze
Karl Gustaf Emanuel Abrahamsson,M,31,,,SWE,1928,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Pavel Sergeyevich Abramov,M,25,198,89,RUS,2004,Summer,Volleyball,Volleyball Men's Volleyball,Bronze
Nelli Mikhaylovna Abramova,F,24,171,60,URS,1964,Summer,Volleyball,Volleyball Women's Volleyball,Silver
Yekaterina Konstantinovna Abramova,F,23,167,65,RUS,2006,Winter,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze
"Alejandro ""lex"" Abrines Redondo",M,23,198,93,ESP,2016,Summer,Basketball,Basketball Men's Basketball,Bronze
Svetlana Olegovna Abrosimova,F,28,188,77,RUS,2008,Summer,Basketball,Basketball Women's Basketball,Bronze
