Name,Sex,Age,Height,Weight,NOC,Year,Season,Sport,Event,Medals
Heike Dhne (-Mller),F,18,172,67,GDR,1980,Summer,Swimming,Swimming Women's 800 metres Freestyle,Bronze
Sabine Dhne,F,26,177,73,GDR,1976,Summer,Rowing,Rowing Women's Coxless Pairs,Silver
Dai Jun,M,20,181,75,CHN,2012,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Dai Xiaoxiang,M,21,178,70,CHN,2012,Summer,Archery,Archery Men's Individual,Bronze
Gordon Debenham Dailley,M,24,,86,GBR,1936,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Demetrios Dais,M,,,,GRE,1906,Summer,Rowing,Rowing Men's 6-Man Naval Rowing Boats,Silver
Ro Masivesi Dakuwaqa,M,22,190,105,FIJ,2016,Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
Corrado Dal Fabbro,M,26,172,84,ITA,1972,Winter,Bobsleigh,Bobsleigh Men's Four,Silver
Troy Lane Dalbey,M,19,190,77,USA,1988,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Troy Lane Dalbey,M,19,190,77,USA,1988,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
John Lawrence Daley,M,18,,,USA,1928,Summer,Boxing,Boxing Men's Bantamweight,Silver
"Thomas Robert ""Tom"" Daley",M,18,177,74,GBR,2012,Summer,Diving,Diving Men's Platform,Bronze
"Thomas Robert ""Tom"" Daley",M,22,177,74,GBR,2016,Summer,Diving,Diving Men's Synchronized Platform,Bronze
"Phillip Peter ""Phil"" Dalhausser",M,28,206,93,USA,2008,Summer,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold
Jnis Dli,M,27,180,,LAT,1932,Summer,Athletics,Athletics Men's 50 kilometres Walk,Silver
Draen Dalipagi,M,24,197,95,YUG,1976,Summer,Basketball,Basketball Men's Basketball,Silver
Draen Dalipagi,M,28,197,95,YUG,1980,Summer,Basketball,Basketball Men's Basketball,Gold
Draen Dalipagi,M,32,197,95,YUG,1984,Summer,Basketball,Basketball Men's Basketball,Bronze
Francesco Dall'Olio,M,30,187,82,ITA,1984,Summer,Volleyball,Volleyball Men's Volleyball,Bronze
Luciano Dalla Bona,M,20,178,76,ITA,1964,Summer,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
Lamberto Dalla Costa,M,35,,,ITA,1956,Winter,Bobsleigh,Bobsleigh Men's Two,Gold
Francesca Dallap,F,30,163,57,ITA,2016,Summer,Diving,Diving Women's Synchronized Springboard,Silver
Cyrus Edwin Dallin,M,42,174,,USA,1904,Summer,Archery,Archery Men's Team Round,Bronze
Petra Dallmann,F,25,184,69,GER,2004,Summer,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
"William Morris ""Bill"" Dally",M,20,189,84,USA,1928,Summer,Rowing,Rowing Men's Coxed Eights,Gold
Jen Dalnoki,M,19,178,82,HUN,1952,Summer,Football,Football Men's Football,Gold
Jen Dalnoki,M,27,178,82,HUN,1960,Summer,Football,Football Men's Football,Bronze
Chloe Elysha Dalton,F,23,180,72,AUS,2016,Summer,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Gold
Dorothy Katherine Dalton,F,25,,,USA,1948,Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Meldric St. Clair daLuz Vieira,M,31,,,IND,1952,Summer,Hockey,Hockey Men's Hockey,Gold
Denis St. George Daly,M,37,,,GBR,1900,Summer,Polo,Polo Men's Polo,Gold
Hans Peter Ludvig Dam,M,24,,,DEN,1908,Summer,Swimming,Swimming Men's 100 metres Backstroke,Silver
Bertrand ric Hugues Damaisin,M,23,173,77,FRA,1992,Summer,Judo,Judo Men's Half-Middleweight,Bronze
Evangelos Damaskos,M,,,,GRE,1896,Summer,Athletics,Athletics Men's Pole Vault,Bronze
Giancarlo Dametto,M,25,189,83,ITA,1984,Summer,Volleyball,Volleyball Men's Volleyball,Bronze
Georgeta Damian-Andrunache,F,24,178,75,ROU,2000,Summer,Rowing,Rowing Women's Coxless Pairs,Gold
Georgeta Damian-Andrunache,F,24,178,75,ROU,2000,Summer,Rowing,Rowing Women's Coxed Eights,Gold
Georgeta Damian-Andrunache,F,28,178,75,ROU,2004,Summer,Rowing,Rowing Women's Coxless Pairs,Gold
Georgeta Damian-Andrunache,F,28,178,75,ROU,2004,Summer,Rowing,Rowing Women's Coxed Eights,Gold
Georgeta Damian-Andrunache,F,32,178,75,ROU,2008,Summer,Rowing,Rowing Women's Coxless Pairs,Gold
Georgeta Damian-Andrunache,F,32,178,75,ROU,2008,Summer,Rowing,Rowing Women's Coxed Eights,Bronze
Francesco Damiani,M,25,192,98,ITA,1984,Summer,Boxing,Boxing Men's Super-Heavyweight,Silver
Leandro Damio da Silva dos Santos,M,23,187,84,BRA,2012,Summer,Football,Football Men's Football,Silver
Maurizio Damilano,M,23,183,70,ITA,1980,Summer,Athletics,Athletics Men's 20 kilometres Walk,Gold
Maurizio Damilano,M,27,183,70,ITA,1984,Summer,Athletics,Athletics Men's 20 kilometres Walk,Bronze
Maurizio Damilano,M,31,183,70,ITA,1988,Summer,Athletics,Athletics Men's 20 kilometres Walk,Bronze
Jrg Damme,M,21,190,104,GDR,1980,Summer,Shooting,Shooting Mixed Trap,Bronze
Barry Dancer,M,23,178,67,AUS,1976,Summer,Hockey,Hockey Men's Hockey,Silver
Blandine Dancette,F,28,169,60,FRA,2016,Summer,Handball,Handball Women's Handball,Silver
Ludvk Dank,M,27,193,123,TCH,1964,Summer,Athletics,Athletics Men's Discus Throw,Silver
Ludvk Dank,M,31,193,123,TCH,1968,Summer,Athletics,Athletics Men's Discus Throw,Bronze
Ludvk Dank,M,35,193,123,TCH,1972,Summer,Athletics,Athletics Men's Discus Throw,Gold
Ivo Daneu,M,31,183,80,YUG,1968,Summer,Basketball,Basketball Men's Basketball,Silver
Dang Ye-Seo,F,27,158,50,KOR,2008,Summer,Table Tennis,Table Tennis Women's Team,Bronze
Nndor Dni,M,24,,,HUN,1896,Summer,Athletics,Athletics Men's 800 metres,Silver
"Eleanor Suzanne ""Ellie"" Daniel (-Drye)",F,18,173,65,USA,1968,Summer,Swimming,Swimming Women's 100 metres Butterfly,Silver
"Eleanor Suzanne ""Ellie"" Daniel (-Drye)",F,18,173,65,USA,1968,Summer,Swimming,Swimming Women's 200 metres Butterfly,Bronze
"Eleanor Suzanne ""Ellie"" Daniel (-Drye)",F,18,173,65,USA,1968,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
"Eleanor Suzanne ""Ellie"" Daniel (-Drye)",F,22,173,65,USA,1972,Summer,Swimming,Swimming Women's 200 metres Butterfly,Bronze
Emmanuel Shinkut Daniel,M,22,174,88,NGR,2016,Summer,Football,Football Men's Football,Bronze
Daniela Alves Lima,F,20,171,66,BRA,2004,Summer,Football,Football Women's Football,Silver
Daniela Alves Lima,F,24,171,66,BRA,2008,Summer,Football,Football Women's Football,Silver
Karl-Heinz Danielowski,M,36,165,50,GDR,1976,Summer,Rowing,Rowing Men's Coxed Eights,Gold
"Charles Meldrum ""Charlie"" Daniels",M,19,183,70,USA,1904,Summer,Swimming,Swimming Men's 50 yard Freestyle,Bronze
"Charles Meldrum ""Charlie"" Daniels",M,19,183,70,USA,1904,Summer,Swimming,Swimming Men's 100 yard Freestyle,Silver
"Charles Meldrum ""Charlie"" Daniels",M,19,183,70,USA,1904,Summer,Swimming,Swimming Men's 220 yard Freestyle,Gold
"Charles Meldrum ""Charlie"" Daniels",M,19,183,70,USA,1904,Summer,Swimming,Swimming Men's 440 yard Freestyle,Gold
"Charles Meldrum ""Charlie"" Daniels",M,19,183,70,USA,1904,Summer,Swimming,Swimming Men's 4 x 50 Yard Freestyle Relay,Gold
"Charles Meldrum ""Charlie"" Daniels",M,21,183,70,USA,1906,Summer,Swimming,Swimming Men's 100 metres Freestyle,Gold
"Charles Meldrum ""Charlie"" Daniels",M,23,183,70,USA,1908,Summer,Swimming,Swimming Men's 100 metres Freestyle,Gold
"Charles Meldrum ""Charlie"" Daniels",M,23,183,70,USA,1908,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Isabelle Francis Daniels (-Holston),F,19,166,61,USA,1956,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
Jack Tupper Daniels,M,23,180,79,USA,1956,Summer,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
Jack Tupper Daniels,M,27,180,79,USA,1960,Summer,Modern Pentathlon,Modern Pentathlon Men's Team,Bronze
Quincey Daniels,M,19,171,63,USA,1960,Summer,Boxing,Boxing Men's Light-Welterweight,Bronze
Egil Danielsen,M,23,182,88,NOR,1956,Summer,Athletics,Athletics Men's Javelin Throw,Gold
John Danielsen,M,21,180,74,DEN,1960,Summer,Football,Football Men's Football,Silver
Sergey Vladimirovich Danilin,M,24,179,84,URS,1984,Winter,Luge,Luge Men's Singles,Silver
Danilo Luiz da Silva,M,21,184,73,BRA,2012,Summer,Football,Football Men's Football,Silver
Olga Valeryevna Danilova,F,27,168,56,RUS,1998,Winter,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,Gold
Olga Valeryevna Danilova,F,27,168,56,RUS,1998,Winter,Cross Country Skiing,Cross Country Skiing Women's 5/10 kilometres Pursuit,Silver
Olga Valeryevna Danilova,F,27,168,56,RUS,1998,Winter,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
Pelageya Aleksandrovna Danilova (-Demirdzhiyan),F,34,,,URS,1952,Summer,Gymnastics,Gymnastics Women's Team All-Around,Gold
Pelageya Aleksandrovna Danilova (-Demirdzhiyan),F,34,,,URS,1952,Summer,Gymnastics,Gymnastics Women's Team Portable Apparatus,Silver
Predrag Danilovi,M,26,201,99,SCG,1996,Summer,Basketball,Basketball Men's Basketball,Silver
Arne Dankers,M,25,185,82,CAN,2006,Winter,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),Silver
Wolfgang Danne,M,26,184,75,FRG,1968,Winter,Figure Skating,Figure Skating Mixed Pairs,Bronze
Rolf Danneberg,M,31,198,125,FRG,1984,Summer,Athletics,Athletics Men's Discus Throw,Gold
Rolf Danneberg,M,35,198,125,FRG,1988,Summer,Athletics,Athletics Men's Discus Throw,Bronze
"Alexandra Mary L. ""Alex"" Danson",F,27,167,56,GBR,2012,Summer,Hockey,Hockey Women's Hockey,Bronze
"Alexandra Mary L. ""Alex"" Danson",F,31,167,56,GBR,2016,Summer,Hockey,Hockey Women's Hockey,Gold
Dante Guimares Santos do Amaral,M,23,201,86,BRA,2004,Summer,Volleyball,Volleyball Men's Volleyball,Gold
Dante Guimares Santos do Amaral,M,27,201,86,BRA,2008,Summer,Volleyball,Volleyball Men's Volleyball,Silver
Dante Guimares Santos do Amaral,M,31,201,86,BRA,2012,Summer,Volleyball,Volleyball Men's Volleyball,Silver
Adrian Delano Dantley,M,21,195,95,USA,1976,Summer,Basketball,Basketball Men's Basketball,Gold
Jamie Annette Dantzscher,F,18,152,49,USA,2000,Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze
"Natasha De'Anka ""Tasha"" Danvers (-Smith-)",F,30,173,64,GBR,2008,Summer,Athletics,Athletics Women's 400 metres Hurdles,Bronze
Serhiy Petrovych Danylchenko,M,26,162,54,UKR,2000,Summer,Boxing,Boxing Men's Bantamweight,Bronze
Frieda Dnzer (-Brunner),F,25,,,SUI,1956,Winter,Alpine Skiing,Alpine Skiing Women's Downhill,Silver
Melodie Daoust,F,22,163,71,CAN,2014,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
Munir Ahmed Dar,M,21,171,73,PAK,1956,Summer,Hockey,Hockey Men's Hockey,Silver
Munir Ahmed Dar,M,29,171,73,PAK,1964,Summer,Hockey,Hockey Men's Hockey,Silver
Tanvir Ahmad Dar,M,21,167,81,PAK,1968,Summer,Hockey,Hockey Men's Hockey,Gold
Tauqir Dar,M,20,175,76,PAK,1984,Summer,Hockey,Hockey Men's Hockey,Gold
Ali Iqtidar Shah Dara,M,21,,,IND,1936,Summer,Hockey,Hockey Men's Hockey,Gold
Benjamin Ren Pierre Darbelet,M,27,170,60,FRA,2008,Summer,Judo,Judo Men's Half-Lightweight,Silver
Arthur John Lovett Darby,M,24,,,GBR,1900,Summer,Rugby,Rugby Men's Rugby,Silver
Carolyn Darbyshire-McRory,F,46,168,61,CAN,2010,Winter,Curling,Curling Women's Curling,Silver
"Charles Frick ""Chuck"" Darling",M,26,203,102,USA,1956,Summer,Basketball,Basketball Men's Basketball,Gold
Hannah Darling,F,20,174,72,CAN,2016,Summer,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Bronze
"Thomas Ward ""Tom"" Darling",M,26,193,92,USA,1984,Summer,Rowing,Rowing Men's Coxed Eights,Silver
Lisa Darmanin,F,24,168,65,AUS,2016,Summer,Sailing,Sailing Mixed Multihull,Silver
"William Thomas ""Bill"" Darnton",M,20,185,74,USA,1960,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
Tams Darnyi,M,21,186,82,HUN,1988,Summer,Swimming,Swimming Men's 200 metres Individual Medley,Gold
Tams Darnyi,M,21,186,82,HUN,1988,Summer,Swimming,Swimming Men's 400 metres Individual Medley,Gold
Tams Darnyi,M,25,186,82,HUN,1992,Summer,Swimming,Swimming Men's 200 metres Individual Medley,Gold
Tams Darnyi,M,25,186,82,HUN,1992,Summer,Swimming,Swimming Men's 400 metres Individual Medley,Gold
Jean-Claude Darouy,M,20,165,52,FRA,1964,Summer,Rowing,Rowing Men's Coxed Pairs,Silver
Roddy Darragon,M,22,183,79,FRA,2006,Winter,Cross Country Skiing,Cross Country Skiing Men's Sprint,Silver
Natalie Rose Darwitz,F,18,160,65,USA,2002,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
Natalie Rose Darwitz,F,22,160,65,USA,2006,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
Natalie Rose Darwitz,F,26,160,65,USA,2010,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
Rinat Fayzrakhmanovich Dasayev,M,23,190,74,URS,1980,Summer,Football,Football Men's Football,Bronze
Georg Dascher,M,25,,,GER,1936,Summer,Handball,Handball Men's Handball,Gold
Dmitry Vladimirovich Dashchinsky,M,20,170,68,BLR,1998,Winter,Freestyle Skiing,Freestyle Skiing Men's Aerials,Bronze
Dmitry Vladimirovich Dashchinsky,M,28,170,68,BLR,2006,Winter,Freestyle Skiing,Freestyle Skiing Men's Aerials,Silver
Tuyana Norpolovna Dashidorzhiyeva,F,20,169,57,RUS,2016,Summer,Archery,Archery Women's Team,Silver
Svetlana Dai-Kiti,F,20,172,67,YUG,1980,Summer,Handball,Handball Women's Handball,Silver
Svetlana Dai-Kiti,F,24,172,67,YUG,1984,Summer,Handball,Handball Women's Handball,Gold
Uwe Daler,M,21,193,87,GDR,1988,Summer,Swimming,Swimming Men's 400 metres Freestyle,Gold
Uwe Daler,M,21,193,87,GDR,1988,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
Pavel Valeryevich Datsyuk,M,23,180,86,RUS,2002,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Jean-Daniel Dtwyler,M,22,178,82,SUI,1968,Winter,Alpine Skiing,Alpine Skiing Men's Downhill,Bronze
"Philip Burton ""Phil"" Daubenspeck",M,26,,,USA,1932,Summer,Water Polo,Water Polo Men's Water Polo,Bronze
Raoul Constantin Joseph Ghislain Daufresne de la Chevalerie,M,39,,,BEL,1920,Summer,Hockey,Hockey Men's Hockey,Bronze
Line Daugaard (-Widt Fruensgaard),F,26,174,65,DEN,2004,Summer,Handball,Handball Women's Handball,Gold
Auguste Mose Daumain,M,22,,,FRA,1900,Summer,Cycling,Cycling Men's 25 kilometres,Bronze
Tamra Dauniene (Kaagina-),F,24,190,75,URS,1976,Summer,Basketball,Basketball Women's Basketball,Gold
Flemming Davanger,M,38,183,68,NOR,2002,Winter,Curling,Curling Men's Curling,Gold
Ira Nelson Davenport,M,24,178,72,USA,1912,Summer,Athletics,Athletics Men's 800 metres,Bronze
Lara Shiree Davenport,F,24,174,63,AUS,2008,Summer,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
Lindsay Ann Davenport,F,20,191,79,USA,1996,Summer,Tennis,Tennis Women's Singles,Gold
"Wilbur D. ""Willie"" Davenport",M,25,186,84,USA,1968,Summer,Athletics,Athletics Men's 110 metres Hurdles,Gold
"Wilbur D. ""Willie"" Davenport",M,33,186,84,USA,1976,Summer,Athletics,Athletics Men's 110 metres Hurdles,Bronze
"John Gerald ""Gerry"" Davey",M,21,178,72,GBR,1936,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
James Davey,M,27,,,GBR,1908,Summer,Rugby,Rugby Men's Rugby,Silver
"David ""Davi"" Cortez Silva",M,20,178,71,BRA,1984,Summer,Football,Football Men's Football,Silver
Franck Olivier Christian Franois David,M,22,174,68,FRA,1992,Summer,Sailing,Sailing Men's Windsurfer,Gold
Mihly Dvid,M,19,,,HUN,1906,Summer,Athletics,Athletics Men's Shot Put,Silver
William Phythian Davidson,M,,,,GBR,1908,Summer,Sailing,Sailing Mixed 12 metres,Silver
Caryn Davies,F,22,193,82,USA,2004,Summer,Rowing,Rowing Women's Coxed Eights,Silver
Caryn Davies,F,26,193,82,USA,2008,Summer,Rowing,Rowing Women's Coxed Eights,Gold
Caryn Davies,F,30,193,82,USA,2012,Summer,Rowing,Rowing Women's Coxed Eights,Gold
Christopher Davies,M,26,187,81,GBR,1972,Summer,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
"David ""Dave"" Davies",M,23,190,84,GBR,2008,Summer,Swimming,Swimming Men's 10 kilometres Open Water,Silver
"Richard Allen ""Dick"" Davies",M,28,186,80,USA,1964,Summer,Basketball,Basketball Men's Basketball,Gold
"John Francis ""Jack"" Davies",M,23,,,CAN,1952,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
James Davies,M,25,181,98,GBR,2016,Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Silver
John Griffith Davies,M,23,,,AUS,1952,Summer,Swimming,Swimming Men's 200 metres Breaststroke,Gold
"Judith Joy ""Judy-Joy"" Davies",F,20,,,AUS,1948,Summer,Swimming,Swimming Women's 100 metres Backstroke,Bronze
Lynn Davies,M,22,185,77,GBR,1964,Summer,Athletics,Athletics Men's Long Jump,Gold
Ronald Davies,M,33,,,GBR,1948,Summer,Hockey,Hockey Men's Hockey,Silver
Stephen John Davies,M,23,174,77,AUS,1992,Summer,Hockey,Hockey Men's Hockey,Silver
Stephen John Davies,M,27,174,77,AUS,1996,Summer,Hockey,Hockey Men's Hockey,Bronze
Stephen John Davies,M,31,174,77,AUS,2000,Summer,Hockey,Hockey Men's Hockey,Bronze
"Patricia Joan ""Trish"" Davies",F,23,157,60,ZIM,1980,Summer,Hockey,Hockey Women's Hockey,Gold
Elizabeth Valerie Davies (-Latham),F,20,166,,GBR,1932,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Elizabeth Valerie Davies (-Latham),F,20,166,,GBR,1932,Summer,Swimming,Swimming Women's 100 metres Backstroke,Bronze
"Walter Francis ""Buddy"" Davis",M,21,203,90,USA,1952,Summer,Athletics,Athletics Men's High Jump,Gold
Calvin B. Davis,M,24,183,79,USA,1996,Summer,Athletics,Athletics Men's 400 metres Hurdles,Bronze
Clarissa Glennet Davis (-Wrightsil),F,25,185,73,USA,1992,Summer,Basketball,Basketball Women's Basketball,Bronze
David Davis Cmara,M,31,185,85,ESP,2008,Summer,Handball,Handball Men's Handball,Bronze
Glenn Ashby Davis,M,22,183,73,USA,1956,Summer,Athletics,Athletics Men's 400 metres Hurdles,Gold
Glenn Ashby Davis,M,25,183,73,USA,1960,Summer,Athletics,Athletics Men's 400 metres Hurdles,Gold
Glenn Ashby Davis,M,25,183,73,USA,1960,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Heather Davis,F,26,177,77,CAN,2000,Summer,Rowing,Rowing Women's Coxed Eights,Bronze
Howard Davis,M,21,185,81,JAM,1988,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Jack Wells Davis,M,21,190,70,USA,1952,Summer,Athletics,Athletics Men's 110 metres Hurdles,Silver
Jack Wells Davis,M,26,190,70,USA,1956,Summer,Athletics,Athletics Men's 110 metres Hurdles,Silver
"Joshua Clark ""Josh"" Davis",M,23,188,84,USA,1996,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
"Joshua Clark ""Josh"" Davis",M,23,188,84,USA,1996,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
"Joshua Clark ""Josh"" Davis",M,23,188,84,USA,1996,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
"Joshua Clark ""Josh"" Davis",M,28,188,84,USA,2000,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
"Joshua Clark ""Josh"" Davis",M,28,188,84,USA,2000,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
"Kenneth Bryan ""Kenny"" Davis",M,23,180,82,USA,1972,Summer,Basketball,Basketball Men's Basketball,Silver
Meryl Elizabeth Davis,F,23,160,49,USA,2010,Winter,Figure Skating,Figure Skating Mixed Ice Dancing,Silver
Meryl Elizabeth Davis,F,27,160,49,USA,2014,Winter,Figure Skating,Figure Skating Mixed Ice Dancing,Gold
Meryl Elizabeth Davis,F,27,160,49,USA,2014,Winter,Figure Skating,Figure Skating Mixed Team,Bronze
Nicole Marie Davis,F,26,167,66,USA,2008,Summer,Volleyball,Volleyball Women's Volleyball,Silver
Nicole Marie Davis,F,30,167,66,USA,2012,Summer,Volleyball,Volleyball Women's Volleyball,Silver
Otis Crandall Davis,M,28,185,74,USA,1960,Summer,Athletics,Athletics Men's 400 metres,Gold
Otis Crandall Davis,M,28,185,74,USA,1960,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Paul Martin Davis,M,42,193,105,NOR,2000,Summer,Sailing,Sailing Mixed Three Person Keelboat,Bronze
Francis Pierpont Davis,M,47,,,USA,1932,Summer,Sailing,Sailing Mixed 8 metres,Gold
"Roderick Hopkins ""Rod"" Davis",M,28,182,87,USA,1984,Summer,Sailing,Sailing Mixed Three Person Keelboat,Gold
"Roderick Hopkins ""Rod"" Davis",M,36,182,87,NZL,1992,Summer,Sailing,Sailing Mixed Two Person Keelboat,Silver
Victor Davis,M,20,188,87,CAN,1984,Summer,Swimming,Swimming Men's 100 metres Breaststroke,Silver
Victor Davis,M,20,188,87,CAN,1984,Summer,Swimming,Swimming Men's 200 metres Breaststroke,Gold
Victor Davis,M,20,188,87,CAN,1984,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
Victor Davis,M,24,188,87,CAN,1988,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
Walter Paul Davis,M,21,195,86,USA,1976,Summer,Basketball,Basketball Men's Basketball,Gold
Pauline Elaine Davis-Thompson,F,30,167,57,BAH,1996,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
Pauline Elaine Davis-Thompson,F,34,167,57,BAH,2000,Summer,Athletics,Athletics Women's 200 metres,Gold
Pauline Elaine Davis-Thompson,F,34,167,57,BAH,2000,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
Gevorg Davtyan,M,25,165,77,ARM,2008,Summer,Weightlifting,Weightlifting Men's Middleweight,Bronze
Nadia Davy,F,23,168,54,JAM,2004,Summer,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
Tamara Viktorovna Davydenko (-Samokhvalova),F,21,,,BLR,1996,Summer,Rowing,Rowing Women's Coxed Eights,Bronze
Vitaly Semyonovich Davydov,M,24,182,69,URS,1964,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Vitaly Semyonovich Davydov,M,28,182,69,URS,1968,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Vitaly Semyonovich Davydov,M,32,182,69,URS,1972,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Yevgeny Vitalyevich Davydov,M,24,183,83,EUN,1992,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Anastasiya Semyonovna Davydova,F,21,170,54,RUS,2004,Summer,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
Anastasiya Semyonovna Davydova,F,21,170,54,RUS,2004,Summer,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
Anastasiya Semyonovna Davydova,F,25,170,54,RUS,2008,Summer,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
Anastasiya Semyonovna Davydova,F,25,170,54,RUS,2008,Summer,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
Anastasiya Semyonovna Davydova,F,29,170,54,RUS,2012,Summer,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
Nataliya Anatolivna Davydova,F,23,165,70,UKR,2008,Summer,Weightlifting,Weightlifting Women's Light-Heavyweight,Bronze
Yelena Viktorovna Davydova (-Filatova),F,18,148,45,URS,1980,Summer,Gymnastics,Gymnastics Women's Individual All-Around,Gold
Yelena Viktorovna Davydova (-Filatova),F,18,148,45,URS,1980,Summer,Gymnastics,Gymnastics Women's Team All-Around,Gold
Yelena Viktorovna Davydova (-Filatova),F,18,148,45,URS,1980,Summer,Gymnastics,Gymnastics Women's Balance Beam,Silver
"William ""Billy"" Dawe",M,27,,,CAN,1952,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Dominique Margaux Dawes (-Thompson),F,15,158,54,USA,1992,Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Dominique Margaux Dawes (-Thompson),F,19,158,54,USA,1996,Summer,Gymnastics,Gymnastics Women's Team All-Around,Gold
Dominique Margaux Dawes (-Thompson),F,19,158,54,USA,1996,Summer,Gymnastics,Gymnastics Women's Floor Exercise,Bronze
Dominique Margaux Dawes (-Thompson),F,23,158,54,USA,2000,Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Eva Dawes (-Spinks),F,19,170,60,CAN,1932,Summer,Athletics,Athletics Women's High Jump,Bronze
Edward James Eddie Dawkins,M,27,185,93,NZL,2016,Summer,Cycling,Cycling Men's Team Sprint,Silver
Travis Sentell Dawkins,M,21,182,81,USA,2000,Summer,Baseball,Baseball Men's Baseball,Gold
David Dawnay,M,33,,,GBR,1936,Summer,Polo,Polo Men's Polo,Silver
"Edward John ""Ed"" Dawson",M,28,,,CAN,1936,Summer,Basketball,Basketball Men's Basketball,Silver
Toby Soo-Chul (Bong-Seok) Dawson (Kim-),M,27,170,68,USA,2006,Winter,Freestyle Skiing,Freestyle Skiing Men's Moguls,Bronze
Christine Day,F,25,168,51,JAM,2012,Summer,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
Christine Day,F,29,168,51,JAM,2016,Summer,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
"Charles Ward ""Chuck"" Day",M,21,,,USA,1936,Summer,Rowing,Rowing Men's Coxed Eights,Gold
Derek Malcolm Day,M,24,,,GBR,1952,Summer,Hockey,Hockey Men's Hockey,Bronze
"Michael ""Mike"" Day",M,23,191,93,USA,2008,Summer,Cycling,Cycling Men's BMX,Silver
"Gregory John ""Greg"" Dayman",M,29,188,74,NZL,1976,Summer,Hockey,Hockey Men's Hockey,Gold
Mara Silvina D'Elia,F,26,173,69,ARG,2012,Summer,Hockey,Hockey Women's Hockey,Silver
Giliante D'Este,M,18,170,,ITA,1928,Summer,Rowing,Rowing Men's Coxed Fours,Gold
